,returns
0,-0.0363967242948135
1,0.1951219512195122
2,0.9622645226059656
3,0.4789272030651341
4,0.3050239234449762
5,-0.036842105263157815
6,0.04347826086956526
7,0.21368209255533194
8,0.22783251231527113
9,0.259970075710702
10,0.035714285714285546
11,0.04436974789915967
12,0.14488935721812435
13,0.24641975308641967
14,0.48315665488810355
15,0.10486891385767799
16,-0.06376811594202904
17,-0.05361930294906171
18,0.09631728045325788
19,0.5297157622739017
20,0.11655405405405413
21,0.090909090909091
22,0.22890295358649787
23,0.42231759656652357
24,-0.13045944412932495
25,0.14335443037974688
26,0.22335600907029465
27,0.15050651230101306
28,0.331111111111111
29,0.7201979307242465
30,0.10325732899022795
31,0.03137651821862335
32,-0.08235294117647061
