,returns
0,0.38461538461538464
1,0.2766990291262136
2,0.24581818181818174
3,-0.13368983957219252
4,0.1062992125984252
5,0.28469750889679707
6,0.09124087591240876
7,-0.043985986765278415
8,0.012537116463213547
9,0.41120886282176605
10,0.32612312811980027
11,-0.03790849673202622
12,0.6321656050955413
13,0.038918918918918854
14,0.10909090909090922
15,0.33514246947082765
16,-0.16983791402396056
17,-0.021866666666666673
18,0.058887677208288
19,0.3272463166632082
20,0.029063509149623398
21,0.1663286004056796
22,0.11423841059602656
23,0.13762154076290214
24,-0.21739130434782608
25,0.4280373831775701
26,0.1338582677165355
27,0.06133700895933843
28,0.14352165907549183
29,0.3134496342149691
30,0.9172297297297296
31,-0.24491236325138227
32,0.09892506620969012
