,returns
0,0.6785751019988344
1,0.3829735084458423
2,0.06922270303800097
3,0.13250883392226148
4,0.4570982839313572
5,-0.009230769230769171
6,0.2616459627329192
7,-0.18092307692307688
8,0.03305785123966938
9,0.2138181818181819
10,0.18394248052726184
11,0.33310603477667927
12,0.1759259259259258
13,-0.04287245444801719
14,0.24113475177304972
15,0.32696390658174096
16,-0.13124533929903057
17,-0.20901287553648074
18,0.353829557713053
19,0.08770949720670393
20,0.28190536410580674
21,0.23512002630713588
22,-0.04825612353567625
23,0.17862969004893964
24,0.2569780853517878
25,0.10222059093411635
26,0.004092554698567574
27,-0.03857142857142861
28,0.1721363540122804
29,-0.28395953757225434
30,0.26769378911892144
31,0.4797377830750892
32,0.7630522088353411
