,returns
0,0.6785751019988344
1,0.17923691215616677
2,0.35135135135135126
3,0.13250883392226148
4,0.13475177304964542
5,-0.4614438063986874
6,-0.019079685746352406
7,0.028963414634146402
8,0.5000000000000001
9,0.9685863874345547
10,-0.024252223120452623
11,0.19559902200489002
12,0.2122999157540018
13,0.03200000000000003
14,0.16545265348595212
15,-0.02644230769230777
16,0.06913580246913587
17,-0.14475271411338955
18,0.07421875000000004
19,0.16913687881429812
20,-0.018642803877703205
21,0.06428571428571432
22,0.4235294117647058
23,0.014858841010401134
24,0.03419972640218878
25,0.38575152041702865
26,0.1133021968517557
27,0.2295081967213115
28,0.3498022052015824
29,-0.10537394749876182
30,0.322503008423586
31,0.06735751295336793
32,-0.09654850746268658
