,scoring_columns,booleans
0,priceToFreeCashFlowsRatio,True
1,netIncomePerEBT,True
2,grossProfitMargin,True
3,priceEarningsRatio,False
4,operatingCashFlowPerShare,True
5,cashPerShare,False
6,priceFairValue,True
7,cashFlowToDebtRatio,True
8,enterpriseValueMultiple,True
9,currentRatio,True
10,priceBookValueRatio,True
11,shortTermCoverageRatios,False
12,pretaxProfitMargin,True
13,debtRatio,True
14,inventoryTurnover,True
15,priceCashFlowRatio,True
16,payablesTurnover,True
17,interestCoverage,False
18,ebtPerEbit,True
19,returnOnAssets,True
20,dividendYield,True
21,fixedAssetTurnover,False
22,effectiveTaxRate,True
24,netProfitMargin,False
25,capitalExpenditureCoverageRatio,True
26,payoutRatio,True
27,cashConversionCycle,False
28,freeCashFlowOperatingCashFlowRatio,False
29,quickRatio,False
30,companyEquityMultiplier,False
31,totalDebtToCapitalization,False
33,cashRatio,False
34,priceToOperatingCashFlowsRatio,True
35,cashFlowCoverageRatios,False
36,operatingCycle,False
37,daysOfInventoryOutstanding,True
38,daysOfSalesOutstanding,False
39,priceEarningsToGrowthRatio,True
40,returnOnCapitalEmployed,False
41,longTermDebtToCapitalization,False
42,returnOnEquity,False
43,assetTurnover,True
44,daysOfPayablesOutstanding,False
45,operatingProfitMargin,True
46,ebitPerRevenue,True
47,priceToBookRatio,False
48,priceToSalesRatio,False
49,receivablesTurnover,True
50,priceSalesRatio,False
51,freeCashFlowPerShare,True
52,dividendPaidAndCapexCoverageRatio,True
