,scoring_columns,booleans
0,dividendPaidAndCapexCoverageRatio,True
1,daysOfSalesOutstanding,False
2,payoutRatio,True
3,capitalExpenditureCoverageRatio,False
4,priceBookValueRatio,True
5,companyEquityMultiplier,False
6,cashFlowToDebtRatio,False
7,netIncomePerEBT,False
8,operatingProfitMargin,True
9,netProfitMargin,True
10,enterpriseValueMultiple,True
11,longTermDebtToCapitalization,True
12,grossProfitMargin,True
13,cashRatio,False
14,dividendPayoutRatio,True
15,operatingCashFlowSalesRatio,True
16,priceToOperatingCashFlowsRatio,False
17,fixedAssetTurnover,False
18,priceCashFlowRatio,False
