,scoring_columns,booleans
0,priceEarningsRatio,True
1,assetTurnover,True
2,companyEquityMultiplier,True
3,priceSalesRatio,False
4,inventoryTurnover,False
5,daysOfPayablesOutstanding,False
6,quickRatio,True
7,payoutRatio,True
8,fixedAssetTurnover,True
9,shortTermCoverageRatios,False
10,debtRatio,True
11,returnOnAssets,False
12,pretaxProfitMargin,True
14,ebtPerEbit,False
15,payablesTurnover,False
16,priceEarningsToGrowthRatio,False
17,priceToBookRatio,True
18,currentRatio,False
19,operatingCashFlowSalesRatio,True
20,cashConversionCycle,True
21,interestCoverage,False
22,priceFairValue,False
23,priceToSalesRatio,True
24,totalDebtToCapitalization,True
25,operatingProfitMargin,True
26,cashFlowCoverageRatios,False
27,revenue_growth,True
28,daysOfSalesOutstanding,False
29,cashPerShare,True
30,freeCashFlowOperatingCashFlowRatio,False
31,cashFlowToDebtRatio,False
32,longTermDebtToCapitalization,True
33,operatingCashFlowPerShare,False
34,returnOnEquity,False
35,cashRatio,False
36,netProfitMargin,True
37,daysOfInventoryOutstanding,False
38,freeCashFlowPerShare,True
