,scoring_columns,booleans
0,longTermDebtToCapitalization,False
1,freeCashFlowOperatingCashFlowRatio,False
2,priceToFreeCashFlowsRatio,False
3,priceCashFlowRatio,False
4,cashConversionCycle,True
5,grossProfitMargin,False
6,priceToSalesRatio,False
7,cashRatio,False
8,pretaxProfitMargin,True
9,priceFairValue,False
10,dividendYield,True
12,returnOnCapitalEmployed,False
13,interestCoverage,True
14,quickRatio,True
15,priceToBookRatio,True
16,priceToOperatingCashFlowsRatio,False
17,daysOfPayablesOutstanding,False
18,netIncomePerEBT,False
