,scoring_columns,booleans
0,currentRatio,False
1,ebtPerEbit,True
2,returnOnAssets,True
3,daysOfInventoryOutstanding,True
4,assetTurnover,True
5,priceEarningsToGrowthRatio,False
6,cashPerShare,True
7,priceBookValueRatio,True
8,debtEquityRatio,True
9,cashRatio,False
10,quickRatio,False
11,netProfitMargin,True
12,priceCashFlowRatio,False
13,priceToFreeCashFlowsRatio,False
14,grossProfitMargin,True
15,interestCoverage,True
16,fixedAssetTurnover,True
17,companyEquityMultiplier,True
18,cashFlowToDebtRatio,True
19,enterpriseValueMultiple,True
20,payoutRatio,False
21,freeCashFlowPerShare,False
22,receivablesTurnover,True
23,pretaxProfitMargin,False
24,capitalExpenditureCoverageRatio,False
25,operatingCycle,True
26,operatingProfitMargin,True
28,daysOfPayablesOutstanding,False
29,priceToOperatingCashFlowsRatio,True
30,shortTermCoverageRatios,True
31,returnOnCapitalEmployed,True
32,effectiveTaxRate,True
33,priceFairValue,True
34,dividendPaidAndCapexCoverageRatio,True
35,debtRatio,False
36,revenue_growth,True
37,freeCashFlowOperatingCashFlowRatio,False
38,dividendYield,False
39,cashFlowCoverageRatios,False
40,totalDebtToCapitalization,False
41,priceEarningsRatio,True
42,payablesTurnover,True
43,operatingCashFlowPerShare,False
44,operatingCashFlowSalesRatio,False
45,priceToSalesRatio,False
46,cashConversionCycle,False
47,inventoryTurnover,False
48,ebitPerRevenue,False
49,priceSalesRatio,True
