,scoring_columns,booleans
0,grossProfitMargin,False
1,payoutRatio,True
2,dividendPaidAndCapexCoverageRatio,False
3,ebtPerEbit,False
4,longTermDebtToCapitalization,True
6,returnOnCapitalEmployed,True
7,debtRatio,True
8,cashRatio,False
9,daysOfSalesOutstanding,False
10,operatingProfitMargin,True
11,freeCashFlowPerShare,False
12,dividendYield,True
13,daysOfInventoryOutstanding,False
14,debtEquityRatio,True
15,assetTurnover,False
16,capitalExpenditureCoverageRatio,True
17,revenue_growth,True
18,priceBookValueRatio,True
19,companyEquityMultiplier,False
20,priceToSalesRatio,True
21,priceEarningsRatio,True
