,scoring_columns,booleans
0,pretaxProfitMargin,False
1,receivablesTurnover,False
2,priceToFreeCashFlowsRatio,True
3,cashRatio,True
4,enterpriseValueMultiple,True
5,daysOfInventoryOutstanding,False
6,cashFlowCoverageRatios,True
7,quickRatio,False
8,operatingCashFlowSalesRatio,False
9,currentRatio,False
10,totalDebtToCapitalization,False
11,operatingCycle,False
12,dividendPaidAndCapexCoverageRatio,True
13,ebtPerEbit,True
14,daysOfSalesOutstanding,True
15,capitalExpenditureCoverageRatio,False
16,effectiveTaxRate,True
17,priceCashFlowRatio,False
18,daysOfPayablesOutstanding,True
19,payablesTurnover,False
20,dividendYield,True
21,priceToBookRatio,True
22,debtRatio,True
23,returnOnEquity,True
24,returnOnCapitalEmployed,True
25,revenue_growth,False
26,priceToOperatingCashFlowsRatio,True
27,dividendPayoutRatio,True
28,priceEarningsToGrowthRatio,True
29,fixedAssetTurnover,True
30,cashConversionCycle,True
31,freeCashFlowOperatingCashFlowRatio,True
32,priceSalesRatio,False
33,freeCashFlowPerShare,True
34,operatingProfitMargin,True
35,netProfitMargin,False
