,symbol,name,price,exchange,exchangeShortName,type,industry,sector
6,1YD.DE,Broadcom Inc,134.52,Frankfurt Stock Exchange,XETRA,stock,Semiconductors,Technology
7,YPF,YPF Sociedad Anónima,19.78,New York Stock Exchange,NYSE,stock,Oil & Gas Integrated,Energy
9,AFAGR.HE,Afarak Group Oyj,0.268,Helsinki,HEL,stock,Industrial Materials,Basic Materials
10,LQZ.F,Thai Oil Public Company Limited,1.26,Frankfurt Stock Exchange,XETRA,stock,Oil & Gas Refining & Marketing,Energy
11,ASIX,AdvanSix Inc.,28.13,New York Stock Exchange,NYSE,stock,Chemicals,Basic Materials
17,SSL.TO,Sandstorm Gold Ltd.,7.01,Toronto Stock Exchange,TSX,stock,Gold,Basic Materials
19,BACK,"IMAC Holdings, Inc.",1.615,NASDAQ Capital Market,NASDAQ,stock,Medical - Care Facilities,Healthcare
26,CHD,"Church & Dwight Co., Inc.",102.21,New York Stock Exchange,NYSE,stock,Household & Personal Products,Consumer Defensive
29,MFX.L,Manx Financial Group PLC,16.66,London Stock Exchange,LSE,stock,Banks - Regional,Financial Services
31,KFI1.DE,Kingfisher plc,3.14,Frankfurt Stock Exchange,XETRA,stock,Home Improvement,Consumer Cyclical
34,JVA,"Coffee Holding Co., Inc.",2.065,NASDAQ Capital Market,NASDAQ,stock,Packaged Foods,Consumer Defensive
38,TMUS,"T-Mobile US, Inc.",193.61,NASDAQ Global Select,NASDAQ,stock,Telecommunications Services,Communication Services
40,WIRTEK.CO,Wirtek A/S,10.3,Copenhagen,CPH,stock,Information Technology Services,Technology
44,MITT,"AG Mortgage Investment Trust, Inc.",6.82,New York Stock Exchange,NYSE,stock,REIT - Mortgage,Real Estate
45,RELY,"Remitly Global, Inc.",13.67,NASDAQ Global Select,NASDAQ,stock,Software - Infrastructure,Technology
47,JPM,JPMorgan Chase & Co.,204.06,New York Stock Exchange,NYSE,stock,Banks - Diversified,Financial Services
59,UA,"Under Armour, Inc.",7.42,New York Stock Exchange,NYSE,stock,Apparel - Manufacturers,Consumer Cyclical
63,DBRG,"DigitalBridge Group, Inc.",13.02,New York Stock Exchange,NYSE,stock,REIT - Diversified,Real Estate
64,SCPS,Scopus BioPharma Inc.,0.0001,NASDAQ Global Market,NASDAQ,stock,Biotechnology,Healthcare
65,SCLX,Scilex Holding Company,1.32,NASDAQ Capital Market,NASDAQ,stock,Drug Manufacturers - General,Healthcare
67,XER2.DE,Xerox Holdings Corp,9.112,Frankfurt Stock Exchange,XETRA,stock,"Hardware, Equipment & Parts",Technology
71,EMBRAC-B.ST,Embracer Group AB (publ),24.47,Stockholm Stock Exchange,STO,stock,Electronic Gaming & Multimedia,Technology
74,EAI,"Entergy Arkansas, Inc. 1M BD 4.875%66",22.27,New York Stock Exchange,NYSE,stock,Regulated Electric,Utilities
75,AGL.L,ANGLE plc,13.88,London Stock Exchange,LSE,stock,Medical - Diagnostics & Research,Healthcare
76,XVIVO.ST,Xvivo Perfusion AB (publ),523.0,Stockholm Stock Exchange,STO,stock,Medical - Devices,Healthcare
84,EVGN,Evogene Ltd.,4.05,NASDAQ Global Market,NASDAQ,stock,Biotechnology,Healthcare
92,JPM-PC,JPMorgan Chase & Co.,25.16,New York Stock Exchange,NYSE,stock,Banks - Diversified,Financial Services
99,ALTN.L,AltynGold plc,157.55,London Stock Exchange,LSE,stock,Gold,Basic Materials
100,NTG.CO,NTG Nordic Transport Group A/S,278.0,Copenhagen,CPH,stock,Integrated Freight & Logistics,Industrials
104,CF,"CF Industries Holdings, Inc.",79.53,New York Stock Exchange,NYSE,stock,Agricultural Inputs,Basic Materials
106,ELP,Companhia Paranaense de Energia - COPEL,7.21,New York Stock Exchange,NYSE,stock,Diversified Utilities,Utilities
107,AIEV,"Thunder Power Holdings, Inc.",0.5025,NASDAQ Global Market,NASDAQ,stock,,
108,0OHK.L,Stolt-Nielsen Limited,406.5,London Stock Exchange,LSE,stock,General Transportation,Industrials
121,XPRO,Expro Group Holdings N.V.,19.43,New York Stock Exchange,NYSE,stock,Oil & Gas Equipment & Services,Energy
123,RBB,RBB Bancorp,21.27,NASDAQ Global Select,NASDAQ,stock,Banks - Regional,Financial Services
129,0KOC.L,The Progressive Corporation,219.015,London Stock Exchange,LSE,stock,Insurance - Property & Casualty,Financial Services
137,GUN.L,Gunsynd Plc,0.1465,London Stock Exchange,LSE,stock,Asset Management,Financial Services
139,PSNL,"Personalis, Inc.",3.43,NASDAQ Global Market,NASDAQ,stock,Medical - Diagnostics & Research,Healthcare
144,APLMW,"Apollomics, Inc.",0.011,NASDAQ Capital Market,NASDAQ,stock,,
146,GCI,"Gannett Co., Inc.",4.39,New York Stock Exchange,NYSE,stock,Publishing,Communication Services
149,FLUI.ST,Fluicell AB (publ),0.094,Stockholm Stock Exchange,STO,stock,Biotechnology,Healthcare
150,CLX.L,Calnex Solutions plc,49.48,London Stock Exchange,LSE,stock,Communication Equipment,Technology
154,EGP,"EastGroup Properties, Inc.",181.32,New York Stock Exchange,NYSE,stock,REIT - Industrial,Real Estate
163,0EWR.L,init innovation in traffic systems SE,38.6,London Stock Exchange,LSE,stock,Software - Services,Technology
165,GENE,Genetic Technologies Limited,0.7106,NASDAQ Capital Market,NASDAQ,stock,Medical - Diagnostics & Research,Healthcare
167,ESE,ESCO Technologies Inc.,116.17,New York Stock Exchange,NYSE,stock,"Hardware, Equipment & Parts",Technology
173,RDWR,Radware Ltd.,21.92,NASDAQ Global Select,NASDAQ,stock,Software - Infrastructure,Technology
174,PALM.L,Panther Metals PLC,96.66,London Stock Exchange,LSE,stock,Gold,Basic Materials
179,AV.L,Aviva plc,480.6,London Stock Exchange,LSE,stock,Insurance - Diversified,Financial Services
180,V,Visa Inc.,259.83,New York Stock Exchange,NYSE,stock,Financial - Credit Services,Financial Services
184,DRMA,"Dermata Therapeutics, Inc.",2.62,NASDAQ Capital Market,NASDAQ,stock,Biotechnology,Healthcare
188,RCRT,"Recruiter.com Group, Inc.",2.15,NASDAQ Capital Market,NASDAQ,stock,Staffing & Employment Services,Industrials
190,MAW.L,"Maruwa Co., Ltd.",33770.15,London Stock Exchange,LSE,stock,"Hardware, Equipment & Parts",Technology
196,VVV,Valvoline Inc.,39.76,New York Stock Exchange,NYSE,stock,Oil & Gas Refining & Marketing,Energy
202,LFMD,"LifeMD, Inc.",5.22,NASDAQ Global Market,NASDAQ,stock,Medical - Pharmaceuticals,Healthcare
208,0QN0.L,APG|SGA SA,194.0,London Stock Exchange,LSE,stock,Media & Entertainment,Technology
214,ONTO,Onto Innovation Inc.,177.81,New York Stock Exchange,NYSE,stock,Semiconductors,Technology
217,FSG.L,Foresight Group Holdings Limited,488.0,London Stock Exchange,LSE,stock,Asset Management,Financial Services
222,MUFG,"Mitsubishi UFJ Financial Group, Inc.",9.56,New York Stock Exchange,NYSE,stock,Banks - Diversified,Financial Services
227,HMSO.L,Hammerson plc,27.48,London Stock Exchange,LSE,stock,REIT - Retail,Real Estate
229,LEN,Lennar Corporation,169.37,New York Stock Exchange,NYSE,stock,Residential Construction,Consumer Cyclical
230,0K16.L,"Evolus, Inc.",13.316,London Stock Exchange,LSE,stock,Medical - Pharmaceuticals,Healthcare
233,RY4C.DE,Ryanair Holdings plc,14.77,Frankfurt Stock Exchange,XETRA,stock,"Airlines, Airports & Air Services",Industrials
235,MOV,"Movado Group, Inc.",24.16,New York Stock Exchange,NYSE,stock,Luxury Goods,Consumer Cyclical
245,SF,Stifel Financial Corp.,81.24,New York Stock Exchange,NYSE,stock,Financial - Capital Markets,Financial Services
265,BML-PJ,Bank of America Corporation,22.82,New York Stock Exchange,NYSE,stock,Banks - Diversified,Financial Services
270,EWIND.OL,Edda Wind ASA,22.0,Oslo Stock Exchange,OSL,stock,Oil & Gas Equipment & Services,Energy
273,CMX.L,Catalyst Media Group plc,87.0,London Stock Exchange,LSE,stock,"Gambling, Resorts & Casinos",Consumer Cyclical
275,GPK,Graphic Packaging Holding Company,28.14,New York Stock Exchange,NYSE,stock,Packaging & Containers,Consumer Cyclical
285,SCHW,The Charles Schwab Corporation,62.78,New York Stock Exchange,NYSE,stock,Financial - Capital Markets,Financial Services
292,DFH,"Dream Finders Homes, Inc.",27.42,New York Stock Exchange,NYSE,stock,Residential Construction,Consumer Cyclical
300,MSC,Studio City International Holdings Limited,6.25,New York Stock Exchange,NYSE,stock,"Gambling, Resorts & Casinos",Consumer Cyclical
302,EURKU,Eureka Acquisition Corp Unit,10.16,Nasdaq,NASDAQ,stock,,
304,USB,U.S. Bancorp,41.76,New York Stock Exchange,NYSE,stock,Banks - Regional,Financial Services
309,REVG,"REV Group, Inc.",27.83,New York Stock Exchange,NYSE,stock,Agricultural - Machinery,Industrials
