,returns
0,0.5311801242236025
1,0.14837244511733527
2,0.03587319243604002
3,-0.06841741534208709
4,0.4570982839313572
5,0.14933159439191385
6,0.8709677419354838
7,0.38457854406130276
8,0.42636363636363633
9,-0.007109004739336342
10,0.37254901960784303
11,-0.06590972029908615
12,0.35046049442559385
13,0.17356778218944993
14,0.23296278395360076
15,0.4304194433555468
16,0.2390625
17,0.03418252176717184
18,0.076163610719323
19,0.17652671755725186
20,-0.15722222222222224
21,0.4724118316268489
22,0.29276538201487506
23,0.019874476987447647
24,0.17692307692307688
25,0.38575152041702865
26,0.02794271742927002
27,-0.1528545119705341
28,0.1599326599326599
29,0.6025
30,0.07746478873239439
31,-0.01971608832807571
32,-0.2900100908173562
