,returns
0,0.38461538461538464
1,0.5277777777777778
2,0.24581818181818174
3,-0.15002918855808514
4,0.2575549450549449
5,-0.02348443473511741
6,0.4368008948545863
7,0.12742382271468156
8,0.012537116463213547
9,0.41120886282176605
10,-0.2073529411764706
11,0.19559902200489002
12,0.327956989247312
13,0.5057803468208093
14,0.6147540983606558
15,-0.23653846153846153
16,0.22276264591439698
17,-0.16468590831918506
18,0.16233766233766223
19,0.32502965599051004
20,-0.14106789716545817
21,-0.4123348017621145
22,0.130378933847142
23,0.19715909090909084
24,0.08840757390001375
25,0.08827856792545369
26,0.1120051914341338
27,0.09387531899380239
28,0.25202839756592305
29,0.06092124814264489
30,0.07983193277310911
31,-0.190229139645482
32,0.19487453283502396
