,returns
0,-0.07722007722007712
1,0.1937406855439642
2,-0.1122994652406418
3,-0.06910569105691054
4,0.1062992125984252
5,0.2414342629482071
6,0.5
7,0.8716577540106951
8,0.51
9,0.45824847250509165
10,-0.07681564245810053
11,0.10873786407766996
12,0.05826558265582652
13,0.26293995859213243
14,0.03200393894633196
15,0.09780534351145041
16,0.0278139939156887
17,-0.43117841195884293
18,0.31501340482573736
19,0.1724626278520851
20,0.13772455089820362
21,0.2515690376569037
22,-0.03706050047513468
23,0.44124700239808146
24,-0.32297063903281525
25,0.08619443440549324
26,0.002791346824842927
27,0.13015184381778747
28,0.39750228449588804
29,0.004437869822485244
30,0.15024897163888298
31,-0.20420199041651307
32,0.031166518254674945
