,returns
0,0.05742725880551301
1,0.18609703113685724
2,0.35135135135135126
3,0.0916455696202531
4,0.1062992125984252
5,-0.33047210300429186
6,0.09124087591240876
7,0.47688921496698444
8,0.012537116463213547
9,0.30427637715120187
10,0.16570771001150764
11,-0.00252100840336144
12,0.2122999157540018
13,0.014846235418875989
14,-0.18461538461538463
15,0.2624401566806904
16,-0.0932944606413993
17,-0.021866666666666673
18,0.18780889621087307
19,0.2845046570702794
20,-0.13119789381307584
21,0.22727272727272727
22,0.130378933847142
23,0.21715551481820966
24,0.09475465313028764
25,-0.09490084985835688
26,0.24003664681630793
27,0.06133700895933843
28,0.06253256904637829
29,0.10599078341013825
30,0.011204481792717134
31,-0.1574608408903545
32,0.12622309197651654
