,returns
0,0.38461538461538464
1,0.0
2,0.24581818181818174
3,0.13250883392226148
4,0.33192307692307704
5,-0.009230769230769171
6,0.2616459627329192
7,-0.18092307692307688
8,0.03305785123966938
9,0.2138181818181819
10,0.18394248052726184
11,0.7087811271297509
12,0.11111111111111104
13,-0.11181102362204724
14,0.10909090909090922
15,0.2624401566806904
16,-0.05497896213183733
17,-0.5229132569558101
18,0.34791386271870806
19,0.3272463166632082
20,0.28190536410580674
21,0.23512002630713588
22,0.04402424942263275
23,0.23517212774782256
24,0.056077904633982434
25,0.4439856134274679
26,-0.126530612244898
27,0.6207929515418503
28,0.45782825060609916
29,-0.03894967177242891
30,0.3040983606557377
31,0.03896103896103894
32,0.16089613034623218
