,returns
0,0.5115919629057186
1,0.3829735084458423
2,0.21612903225806443
3,0.10051679586563309
4,0.4410029498525073
5,0.30914285714285716
6,0.5160544567171848
7,0.3776595744680851
8,0.4916152359578581
9,0.041496384784659036
10,0.11832176275279185
11,-0.004048582995951379
12,0.22143853030427293
13,0.17572013697710326
14,0.23296278395360076
15,0.19696084161309182
16,0.2385995881141512
17,-0.21729729729729727
18,0.1723206244371058
19,-0.17020335985853233
20,-0.03409090909090912
21,0.2687208445863001
22,0.25544267053701025
23,-0.04783137413863004
24,0.46193592834998265
25,0.014204678636725898
26,0.6052844432461578
27,-0.2613095238095238
28,-0.10099680270829424
29,0.09392494298154679
30,0.27845827208884544
31,-0.08814512008175786
32,0.16138974502661826
