,returns
0,0.6619354838709678
1,0.2717391304347824
2,0.36630036630036633
3,-0.17010989010989017
4,0.12816041848299903
5,0.08695652173913036
6,0.12994475138121553
7,-0.024447486798357128
8,-0.033881315156375394
9,0.0842498443660511
10,0.0773333333333333
11,-0.12978723404255318
12,0.47554806070826316
13,0.19364016736401662
14,0.023696017947280035
15,-0.08108478290645119
16,0.23663038334122102
17,-0.498156836461126
18,0.29192546583850926
19,0.24131542380731824
20,-0.11194029850746269
21,0.07030759573132461
22,0.23512959164646638
23,0.07209302325581393
24,0.08019801980198026
25,0.04823331463825031
26,0.2125748502994012
27,0.02158010241404535
28,0.22692307692307687
29,0.08038585209003216
30,0.27261227071473754
31,0.2180451127819549
32,-0.5263157894736842
