,returns
0,0.03770620581304009
1,0.14837244511733527
2,0.30547550432276654
3,-0.13024282560706407
4,0.4570982839313572
5,0.19486081370449682
6,0.8709677419354838
7,0.38457854406130276
8,0.43204320432043214
9,0.9761156505342552
10,0.07951653944020344
11,0.15533980582524287
12,0.35046049442559385
13,0.2958273381294964
14,0.48315665488810355
15,0.11689961880559073
16,-0.024390243902439025
17,-0.4808126410835214
18,0.013043478260869596
19,0.3819742489270387
20,-0.0372670807453417
21,0.22580645161290322
22,0.07894736842105263
23,0.10000000000000003
24,0.3691796008869179
25,0.18632750397456294
26,0.30632911392405066
27,-0.04974271012006859
28,0.35731240933667413
29,-0.004057971014492688
30,0.6122208241585404
31,-0.062215477996965224
32,0.13333333333333322
