,scoring_columns,booleans
0,enterpriseValueMultiple,True
1,dividendPayoutRatio,True
2,priceToSalesRatio,True
3,receivablesTurnover,False
4,longTermDebtToCapitalization,True
5,dividendPaidAndCapexCoverageRatio,True
6,currentRatio,False
7,fixedAssetTurnover,False
8,debtRatio,False
9,operatingCycle,True
10,freeCashFlowOperatingCashFlowRatio,True
11,cashConversionCycle,False
12,cashFlowCoverageRatios,True
13,capitalExpenditureCoverageRatio,False
14,payoutRatio,True
15,returnOnCapitalEmployed,True
16,quickRatio,True
17,pretaxProfitMargin,False
18,operatingCashFlowSalesRatio,True
19,priceFairValue,False
20,priceSalesRatio,False
21,priceToOperatingCashFlowsRatio,False
22,netProfitMargin,True
23,assetTurnover,True
24,returnOnEquity,True
25,shortTermCoverageRatios,True
26,daysOfSalesOutstanding,True
27,cashPerShare,True
28,priceEarningsToGrowthRatio,True
29,effectiveTaxRate,True
30,operatingCashFlowPerShare,False
31,dividendYield,False
32,ebtPerEbit,True
33,priceBookValueRatio,False
34,freeCashFlowPerShare,True
35,daysOfPayablesOutstanding,False
36,netIncomePerEBT,False
37,priceToFreeCashFlowsRatio,False
38,ebitPerRevenue,True
