,scoring_columns,booleans
0,interestCoverage,True
1,longTermDebtToCapitalization,True
2,fixedAssetTurnover,False
3,daysOfInventoryOutstanding,True
4,priceToSalesRatio,False
5,returnOnAssets,False
6,companyEquityMultiplier,False
7,capitalExpenditureCoverageRatio,True
8,effectiveTaxRate,False
9,ebtPerEbit,False
10,priceToFreeCashFlowsRatio,False
11,daysOfSalesOutstanding,True
12,operatingCashFlowSalesRatio,True
13,revenue_growth,True
14,returnOnEquity,False
15,assetTurnover,False
16,debtEquityRatio,True
17,priceBookValueRatio,True
18,cashFlowToDebtRatio,True
19,dividendPayoutRatio,True
20,netProfitMargin,True
21,returnOnCapitalEmployed,False
22,ebitPerRevenue,True
23,cashRatio,False
24,netIncomePerEBT,True
25,operatingCycle,False
26,dividendYield,True
27,priceCashFlowRatio,True
28,freeCashFlowOperatingCashFlowRatio,False
29,cashConversionCycle,True
30,cashPerShare,False
31,dividendPaidAndCapexCoverageRatio,True
32,totalDebtToCapitalization,True
33,inventoryTurnover,True
