,scoring_columns,booleans
0,returnOnEquity,False
1,inventoryTurnover,True
2,longTermDebtToCapitalization,True
3,priceEarningsToGrowthRatio,False
4,priceToBookRatio,False
5,priceCashFlowRatio,True
6,priceEarningsRatio,False
7,freeCashFlowOperatingCashFlowRatio,False
8,cashConversionCycle,False
9,ebtPerEbit,False
10,operatingCashFlowSalesRatio,True
11,ebitPerRevenue,True
12,priceSalesRatio,False
13,totalDebtToCapitalization,True
14,interestCoverage,True
15,debtRatio,True
16,dividendPayoutRatio,True
17,enterpriseValueMultiple,False
18,payoutRatio,True
19,receivablesTurnover,False
20,operatingCycle,False
21,currentRatio,False
22,daysOfPayablesOutstanding,True
23,netIncomePerEBT,True
24,returnOnAssets,False
25,payablesTurnover,False
26,companyEquityMultiplier,True
27,shortTermCoverageRatios,False
28,grossProfitMargin,True
29,returnOnCapitalEmployed,True
30,dividendYield,False
31,dividendPaidAndCapexCoverageRatio,False
32,freeCashFlowPerShare,True
33,fixedAssetTurnover,True
34,operatingProfitMargin,False
35,netProfitMargin,True
36,operatingCashFlowPerShare,False
37,quickRatio,False
38,debtEquityRatio,False
39,cashRatio,False
40,capitalExpenditureCoverageRatio,True
41,daysOfSalesOutstanding,False
42,effectiveTaxRate,True
43,cashFlowCoverageRatios,True
44,cashPerShare,True
45,cashFlowToDebtRatio,False
46,priceToSalesRatio,True
47,priceFairValue,False
48,assetTurnover,False
49,daysOfInventoryOutstanding,True
