,scoring_columns,booleans
0,operatingCashFlowSalesRatio,False
1,cashFlowToDebtRatio,True
2,priceEarningsRatio,True
3,operatingCycle,True
4,debtEquityRatio,True
5,payoutRatio,True
6,fixedAssetTurnover,False
7,dividendPaidAndCapexCoverageRatio,False
8,priceSalesRatio,False
9,priceCashFlowRatio,False
10,ebitPerRevenue,False
11,payablesTurnover,True
12,operatingProfitMargin,True
13,enterpriseValueMultiple,True
14,priceFairValue,False
15,daysOfSalesOutstanding,True
16,pretaxProfitMargin,False
17,netProfitMargin,True
