,scoring_columns,booleans
0,freeCashFlowPerShare,True
1,cashConversionCycle,False
2,cashPerShare,False
3,returnOnEquity,False
4,freeCashFlowOperatingCashFlowRatio,False
5,priceToOperatingCashFlowsRatio,True
6,effectiveTaxRate,True
7,priceEarningsRatio,True
8,grossProfitMargin,False
9,longTermDebtToCapitalization,False
10,capitalExpenditureCoverageRatio,True
11,returnOnCapitalEmployed,True
12,daysOfInventoryOutstanding,False
13,companyEquityMultiplier,True
14,dividendPaidAndCapexCoverageRatio,True
15,totalDebtToCapitalization,True
16,payoutRatio,True
17,currentRatio,False
18,revenue_growth,False
19,priceToSalesRatio,False
20,cashFlowToDebtRatio,False
21,receivablesTurnover,True
22,priceFairValue,True
23,priceToBookRatio,False
24,debtRatio,False
25,quickRatio,False
26,ebtPerEbit,True
27,priceToFreeCashFlowsRatio,False
28,operatingCashFlowSalesRatio,False
29,netIncomePerEBT,False
30,netProfitMargin,True
