,scoring_columns,booleans
0,netProfitMargin,True
1,capitalExpenditureCoverageRatio,False
2,priceToSalesRatio,True
3,payoutRatio,False
4,dividendYield,True
5,operatingCashFlowPerShare,False
6,dividendPayoutRatio,True
7,freeCashFlowPerShare,True
8,debtRatio,False
9,shortTermCoverageRatios,True
10,freeCashFlowOperatingCashFlowRatio,False
11,ebitPerRevenue,False
12,grossProfitMargin,True
13,cashRatio,True
14,interestCoverage,True
15,assetTurnover,True
16,returnOnAssets,False
17,quickRatio,True
18,dividendPaidAndCapexCoverageRatio,True
19,daysOfInventoryOutstanding,True
20,ebtPerEbit,False
21,longTermDebtToCapitalization,True
22,cashFlowToDebtRatio,False
23,fixedAssetTurnover,True
24,priceFairValue,False
25,receivablesTurnover,True
26,currentRatio,False
27,priceSalesRatio,True
28,operatingProfitMargin,True
29,cashPerShare,False
30,revenue_growth,False
31,inventoryTurnover,False
32,priceEarningsToGrowthRatio,False
33,priceBookValueRatio,False
34,returnOnCapitalEmployed,True
35,operatingCycle,False
36,priceEarningsRatio,False
37,debtEquityRatio,True
38,companyEquityMultiplier,True
39,cashConversionCycle,False
40,enterpriseValueMultiple,False
41,returnOnEquity,True
42,totalDebtToCapitalization,True
43,netIncomePerEBT,False
44,daysOfPayablesOutstanding,False
45,priceCashFlowRatio,False
46,payablesTurnover,False
47,priceToFreeCashFlowsRatio,False
48,daysOfSalesOutstanding,True
