,scoring_columns,booleans
0,daysOfInventoryOutstanding,False
1,grossProfitMargin,True
2,priceToSalesRatio,False
3,cashFlowToDebtRatio,False
4,priceCashFlowRatio,False
5,cashRatio,False
6,totalDebtToCapitalization,False
7,daysOfPayablesOutstanding,False
8,netProfitMargin,True
9,returnOnEquity,True
10,operatingCashFlowSalesRatio,True
11,enterpriseValueMultiple,True
13,returnOnAssets,True
14,priceEarningsRatio,False
15,interestCoverage,False
16,shortTermCoverageRatios,False
17,debtRatio,False
18,assetTurnover,True
19,priceToOperatingCashFlowsRatio,False
20,priceToFreeCashFlowsRatio,True
21,ebtPerEbit,True
22,priceToBookRatio,False
23,operatingCashFlowPerShare,True
24,payablesTurnover,True
25,daysOfSalesOutstanding,True
26,quickRatio,True
27,debtEquityRatio,True
28,payoutRatio,False
29,capitalExpenditureCoverageRatio,True
30,priceSalesRatio,True
31,currentRatio,False
32,longTermDebtToCapitalization,True
33,companyEquityMultiplier,False
34,operatingCycle,False
35,operatingProfitMargin,False
36,dividendPaidAndCapexCoverageRatio,False
37,priceEarningsToGrowthRatio,False
38,priceBookValueRatio,False
39,pretaxProfitMargin,True
40,ebitPerRevenue,True
41,freeCashFlowPerShare,True
42,receivablesTurnover,True
43,priceFairValue,False
44,cashPerShare,False
45,inventoryTurnover,False
47,fixedAssetTurnover,False
